City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Nuevo Casas Grandes,MX,30.4167,-107.9167,48.79,19,6,3.33,clear sky
281,Honningsvag,NO,70.9821,25.9704,40.78,92,100,41.2,overcast clouds
282,Ho Chi Minh City,VN,10.75,106.6667,95.02,34,40,5.75,scattered clouds
283,Turukhansk,RU,65.8167,87.9833,14.34,92,99,15.05,light snow
284,Salinopolis,BR,-0.6136,-47.3561,78.37,88,59,9.48,broken clouds
285,Kaeo,NZ,-35.1,173.7833,71.33,78,58,8.79,broken clouds
286,Kaoma,ZM,-14.7833,24.8,67.44,86,86,3.78,overcast clouds
287,Ketchikan,US,55.3422,-131.6461,40.37,96,100,19.26,moderate rain
288,Trat,TH,12.5,102.5,91.11,41,94,12.3,overcast clouds
289,Ilheus,BR,-14.7889,-39.0494,72.72,88,12,1.16,few clouds
290,Abatskoye,RU,56.2875,70.4555,22.68,87,39,13.2,scattered clouds
291,Zmiyiv,UA,49.6966,36.3611,32.76,69,100,12.24,overcast clouds
292,Champerico,GT,14.3,-91.9167,78.8,75,1,5.3,clear sky
293,Lata,PT,40.1629,-8.3327,43.97,95,6,2.37,clear sky
294,Luderitz,NA,-26.6481,15.1594,65.28,89,66,6.22,broken clouds
295,Tempio Pausania,IT,40.8974,9.1035,34.65,51,2,7.2,clear sky
296,Leningradskiy,RU,69.3833,178.4167,0.72,98,100,5.26,overcast clouds
297,Nerchinskiy Zavod,RU,51.3088,119.61,18.1,76,80,5.5,broken clouds
298,Tabou,CI,4.423,-7.3528,78.22,92,64,8.39,broken clouds
299,Kuito,AO,-12.3833,16.9333,60.49,97,100,2.13,light rain
300,Pangkalanbuun,ID,-2.6833,111.6167,92.64,46,100,3.04,overcast clouds
301,Ormara,PK,25.2088,64.6357,74.93,67,0,12.03,clear sky
302,Nurota,UZ,40.5614,65.6886,57.29,26,51,2.1,broken clouds
303,Suntar,RU,62.1444,117.6319,7.57,86,100,7.92,overcast clouds
304,Marsh Harbour,BS,26.5412,-77.0636,74.07,78,97,12.68,overcast clouds
305,Muroto,JP,33.2833,134.15,57.58,36,0,11.88,clear sky
306,Inverbervie,GB,56.8446,-2.28,41.36,77,1,17.94,clear sky
307,Olinda,BR,-8.0089,-34.8553,78.82,79,87,9.01,overcast clouds
308,Chadiza,ZM,-14.0678,32.4392,68.38,87,95,1.92,overcast clouds
309,Jaspur,IN,29.2833,78.8167,76.51,29,8,5.44,clear sky
310,Brae,GB,60.3964,-1.353,44.51,78,18,32.19,few clouds
311,Millinocket,US,45.6573,-68.7098,19.42,93,60,5.06,broken clouds
312,San Fernando,PH,15.0286,120.6898,89.69,40,29,16.4,scattered clouds
313,Korla,CN,41.7597,86.1469,44.35,27,33,3.42,scattered clouds
314,Tual,ID,-5.6667,132.75,83.07,75,98,8.61,overcast clouds
315,Norden,DE,53.6,7.2,34.38,87,1,11.48,clear sky
316,Aleksinac,RS,43.5417,21.7078,38.86,82,100,7.25,overcast clouds
317,Ambon,ID,-3.6954,128.1814,84.97,71,71,15.66,broken clouds
318,Grand Island,US,40.925,-98.342,28.11,46,0,5.64,clear sky
319,Ewa Beach,US,21.3156,-158.0072,72.86,81,28,7.25,scattered clouds
320,Sao Desiderio,BR,-12.3633,-44.9733,69.3,82,12,2.73,few clouds
321,Trujillo,PE,-8.116,-79.03,71.89,84,93,5.23,overcast clouds
322,Coahuayana,MX,18.7333,-103.6833,71.96,78,16,2.17,few clouds
323,Khani,GE,41.9563,42.9566,38.16,93,99,0.4,overcast clouds
324,Innisfail,AU,-17.5333,146.0333,85.73,70,86,5.84,overcast clouds
325,Solnechnyy,RU,50.7214,136.6319,14.0,80,86,1.36,light snow
326,Hastings,GB,50.8552,0.5729,42.53,68,2,20.6,clear sky
